Επώνυμο Ιατρού|Όνομα Ιατρού|Βαθμίδα|Επίπεδο Εποπτείας|Επώνυμο Επόπτη|Όνομα Επόπτη|Βαθμίδα Επόπτη
Βλάσση|Πηνελόπη|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Τρεντσίου|Βικέντια|ΕΠΙΜΕΛΗΤΗΣ Α
Βοσινάκη|Όθων|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Βλαχοδήμου|Ρεγγίνα|ΕΠΙΜΕΛΗΤΗΣ Α
Γεωργακοπούλου|Οδύσσεια|ΕΠΙΜΕΛΗΤΗΣ Β|1|Χατζελλής|Δημήτριος|ΕΠΙΜΕΛΗΤΗΣ Α
Γεωργακοπούλου|Οδύσσεια|ΕΠΙΜΕΛΗΤΗΣ Β|2|Πιτσάκης|Φωτεινός|ΔΙΕΥΘΥΝΤΗΣ
Γιαννακουδάκη|Σάββας|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Ανδρικόπουλος|Θεώνη|ΕΠΙΜΕΛΗΤΗΣ Α
Γιαννούκος|Θησεύς|ΕΠΙΜΕΛΗΤΗΣ Β|1|Μόκας|Πελαγία|ΔΙΕΥΘΥΝΤΗΣ
Γκιολδελής|Μαυροειδής|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Αλεξανδράκη|Εύκλεια|ΕΠΙΜΕΛΗΤΗΣ Α
Γκιριτζιώνη|Αθηνά|ΕΠΙΜΕΛΗΤΗΣ Β|1|Στεφάνου|Λουκιανός|ΔΙΕΥΘΥΝΤΗΣ
Γκούσκος|Πασχάλης|ΕΠΙΜΕΛΗΤΗΣ Α|1|Θεοχάρης|Παναγία|ΔΙΕΥΘΥΝΤΗΣ
Γραμμένου|Ιάκωβος|ΕΠΙΜΕΛΗΤΗΣ Α|1|Τζεβελέκος|Στεφανία|ΔΙΕΥΘΥΝΤΗΣ
Γρηγοριάδης|Νεφέλη|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Τσώτσης|Σταμάτιος|ΕΠΙΜΕΛΗΤΗΣ Β
Δάρας|Σώζων|ΕΠΙΜΕΛΗΤΗΣ Β|1|Σταυρόπουλος|Πολυτίμη|ΕΠΙΜΕΛΗΤΗΣ Α
Δημητρέλου|Ζησούλα|ΕΠΙΜΕΛΗΤΗΣ Α|1|Καμπάκας|Ζαμπία|ΔΙΕΥΘΥΝΤΗΣ
Δημόπουλος|Αλίκη|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Χονδρούδη|Ισαβέλλα|ΕΠΙΜΕΛΗΤΗΣ Α
Δίγκας|Δημήτρης|ΕΠΙΜΕΛΗΤΗΣ Α|1|Καμπάκας|Ζαμπία|ΔΙΕΥΘΥΝΤΗΣ
Διοπούλου|Χρυσοβαλάντω|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Γεωργακοπούλου|Οδύσσεια|ΕΠΙΜΕΛΗΤΗΣ Β
Διοπούλου|Χρυσοβαλάντω|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|2|Χατζελλής|Δημήτριος|ΕΠΙΜΕΛΗΤΗΣ Α
Διοπούλου|Χρυσοβαλάντω|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|3|Πιτσάκης|Φωτεινός|ΔΙΕΥΘΥΝΤΗΣ
Δουλουφάκη|Σολομών|ΕΠΙΜΕΛΗΤΗΣ Β|1|Κουταλιός|Φλωρίνα|ΕΠΙΜΕΛΗΤΗΣ Α
Εμμανουηλίδου|Ιάσων|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Καστάνης|Φλοριάντ|ΕΠΙΜΕΛΗΤΗΣ Α
Εμμανουηλίδου|Ιάσων|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|2|Κουκλατζής|Δράκων|ΔΙΕΥΘΥΝΤΗΣ
Ζαραφέτας|Δημοκράτης|ΕΠΙΜΕΛΗΤΗΣ Α|1|Τζεβελέκος|Στεφανία|ΔΙΕΥΘΥΝΤΗΣ
Ζαχαρίου|Αμβρόσιος|ΕΠΙΜΕΛΗΤΗΣ Β|1|Καραμσαλής|Θεοφανία|ΕΠΙΜΕΛΗΤΗΣ Α
Ζιώγος|Γρηγόριος|ΕΠΙΜΕΛΗΤΗΣ Β|1|Γεωργακόπουλος|Ξενοφών|ΕΠΙΜΕΛΗΤΗΣ Α
Ζορμπάς|Ιππολύτη|ΕΠΙΜΕΛΗΤΗΣ Α|1|Σπυριδάκη|Αριστοτέλης|ΔΙΕΥΘΥΝΤΗΣ
Ιατρόπουλος|Ευφροσύνη|ΕΠΙΜΕΛΗΤΗΣ Β|1|Παλαιολόγος|Θεμιστόκλεια|ΕΠΙΜΕΛΗΤΗΣ Α
Ισάρης|Εμμανουήλ|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Γκιριτζιώνη|Θησεύς|ΕΠΙΜΕΛΗΤΗΣ Α
Καμπούρη|Εριέτα|ΕΠΙΜΕΛΗΤΗΣ Β|1|Σταυρόπουλος|Πολυτίμη|ΕΠΙΜΕΛΗΤΗΣ Α
Καραμσαλής|Παναγία|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Καρατζίκος|Ιφιγένεια|ΕΠΙΜΕΛΗΤΗΣ Α
Καραμσαλής|Παναγία|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|2|Τζεβελέκος|Στεφανία|ΔΙΕΥΘΥΝΤΗΣ
Καρατζίκος|Ιφιγένεια|ΕΠΙΜΕΛΗΤΗΣ Α|1|Τζεβελέκος|Στεφανία|ΔΙΕΥΘΥΝΤΗΣ
Καργάκου|Εύκλεια|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Γεωργακοπούλου|Οδύσσεια|ΕΠΙΜΕΛΗΤΗΣ Β
Καργάκου|Εύκλεια|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|2|Χατζελλής|Δημήτριος|ΕΠΙΜΕΛΗΤΗΣ Α
Καργάκου|Εύκλεια|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|3|Πιτσάκης|Φωτεινός|ΔΙΕΥΘΥΝΤΗΣ
Καστάνης|Φλοριάντ|ΕΠΙΜΕΛΗΤΗΣ Α|1|Κουκλατζής|Δράκων|ΔΙΕΥΘΥΝΤΗΣ
Κολαΐτου|Μυρσίνη|ΕΠΙΜΕΛΗΤΗΣ Β|1|Γκικόπουλος|Λασκαρίνα|ΕΠΙΜΕΛΗΤΗΣ Α
Κόλκας|Ευρύκλεια|ΕΠΙΜΕΛΗΤΗΣ Α|1|Καμπάκας|Ζαμπία|ΔΙΕΥΘΥΝΤΗΣ
Κουλίδης|Φανή|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Περιστερόπουλος|Αλεξάνδρα|ΕΠΙΜΕΛΗΤΗΣ Α
Κουτσογιάννης|Φοίβη|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Μαγκαφοπούλου|Λύσανδρος|ΕΠΙΜΕΛΗΤΗΣ Α
Κουτσουλής|Μιχαήλ|ΕΠΙΜΕΛΗΤΗΣ Α|1|Μόκας|Πελαγία|ΔΙΕΥΘΥΝΤΗΣ
Κουφάκη|Καρυοφυλλιά|ΕΠΙΜΕΛΗΤΗΣ Α|1|Πιτσάκης|Φωτεινός|ΔΙΕΥΘΥΝΤΗΣ
Μασόπουλος|Όμηρος|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Μαυρούτσος|Πελαγία|ΕΠΙΜΕΛΗΤΗΣ Α
Μαυρουδής|Θεοφύλακτη|ΕΠΙΜΕΛΗΤΗΣ Β|1|Βαγενά|Ιωνάς|ΕΠΙΜΕΛΗΤΗΣ Α
Μεϊμάρης|Θεόφιλος|ΕΠΙΜΕΛΗΤΗΣ Β|1|Χατζημιχαήλ|Ιακωβίνα|ΕΠΙΜΕΛΗΤΗΣ Α
Μήτσου|Βασιλική|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Πέττα|Αρτεμισία|ΕΠΙΜΕΛΗΤΗΣ Α
Μιλέα|Τσαμπίκα|ΕΠΙΜΕΛΗΤΗΣ Β|1|Αλυσανδράτου|Σώζων|ΕΠΙΜΕΛΗΤΗΣ Α
Μιχαηλίδης|Σαράντης|ΕΠΙΜΕΛΗΤΗΣ Α|1|Στεφάνου|Λουκιανός|ΔΙΕΥΘΥΝΤΗΣ
Μιχελή|Μαριγώ|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Παπαχρήστου|Σπήλιος|ΕΠΙΜΕΛΗΤΗΣ Α
Μιχελή|Μαριγώ|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|2|Κουκλατζής|Δράκων|ΔΙΕΥΘΥΝΤΗΣ
Μπακοστεργίου|Δούκισσα|ΕΠΙΜΕΛΗΤΗΣ Β|1|Σαμακίδης|Ιφιγένεια|ΕΠΙΜΕΛΗΤΗΣ Α
Μπαλαμπάνη|Λουκάς|ΕΠΙΜΕΛΗΤΗΣ Α|1|Λέκκα|Ευσεβεία|ΔΙΕΥΘΥΝΤΗΣ
Μπαλάσκας|Μεγακλής|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Τζεβελέκος|Στεφανία|ΔΙΕΥΘΥΝΤΗΣ
Μπαλτατζή|Μαρία|ΕΠΙΜΕΛΗΤΗΣ Β|1|Πιτσάκης|Φωτεινός|ΔΙΕΥΘΥΝΤΗΣ
Μπέκος|Βέρα|ΕΠΙΜΕΛΗΤΗΣ Β|1|Γαρουφαλής|Γιάννης|ΕΠΙΜΕΛΗΤΗΣ Α
Νίκα|Βεατρίκη|ΕΠΙΜΕΛΗΤΗΣ Α|1|Καμπάκας|Ζαμπία|ΔΙΕΥΘΥΝΤΗΣ
Νίκα|Ξανθίππη|ΕΠΙΜΕΛΗΤΗΣ Β|1|Ορφανιώτης|Κικιλία|ΕΠΙΜΕΛΗΤΗΣ Α
Ξανθάκης|Βαλεντίνος|ΕΠΙΜΕΛΗΤΗΣ Α|1|Μανουσοπούλου|Περικλεία|ΔΙΕΥΘΥΝΤΗΣ
Ξενάκη|Γαληνός|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Καραθανάση|Πέτρα|ΕΠΙΜΕΛΗΤΗΣ Α
Ξηρογιάννης|Στυλιανή|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Τυμβίου|Μηλιά|ΕΠΙΜΕΛΗΤΗΣ Α
Οικονόμου|Κονδυλία|ΕΠΙΜΕΛΗΤΗΣ Β|1|Γιατρομανωλάκης|Μελίνα|ΕΠΙΜΕΛΗΤΗΣ Α
Ότσος|Ηρακλής|ΕΠΙΜΕΛΗΤΗΣ Β|1|Βαβάση|Χρυσοβαλάντου|ΕΠΙΜΕΛΗΤΗΣ Α
Ότσος|Ηρακλής|ΕΠΙΜΕΛΗΤΗΣ Β|2|Λογοθέτη|Πηγή|ΔΙΕΥΘΥΝΤΗΣ
Πάνος|Ερωτόκριτος|ΕΠΙΜΕΛΗΤΗΣ Α|1|Σπυριδάκη|Αριστοτέλης|ΔΙΕΥΘΥΝΤΗΣ
Πάντος|Παρέσσα|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Ανδρικόπουλος|Θεώνη|ΕΠΙΜΕΛΗΤΗΣ Α
Παπακώστα|Θεανώ|ΕΠΙΜΕΛΗΤΗΣ Β|1|Παπαθανασίου|Προκόπιος|ΕΠΙΜΕΛΗΤΗΣ Α
Παπαφώτης|Θεοχαρούλα|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Κωτούλα|Νταίζη|ΕΠΙΜΕΛΗΤΗΣ Α
Παπαχρήστου|Σπήλιος|ΕΠΙΜΕΛΗΤΗΣ Α|1|Κουκλατζής|Δράκων|ΔΙΕΥΘΥΝΤΗΣ
Παπουλής|Μεταξία|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Παργανάς|Ευτυχία|ΕΠΙΜΕΛΗΤΗΣ Α
Παρασκευόπουλος|Ιερεμίας|ΕΠΙΜΕΛΗΤΗΣ Α|1|Μαυροείδη|Ρεβέκκα|ΔΙΕΥΘΥΝΤΗΣ
Πετρίδης|Θεόφιλος|ΕΠΙΜΕΛΗΤΗΣ Β|1|Μανουσοπούλου|Περικλεία|ΔΙΕΥΘΥΝΤΗΣ
Πετρίδου|Μαύρα|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Βιολάτος|Αλκμήνη|ΕΠΙΜΕΛΗΤΗΣ Α
Πιτσολής|Νέαρχος|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Βιολάτος|Αλκμήνη|ΕΠΙΜΕΛΗΤΗΣ Α
Πιτσολής|Υάκινθος|ΕΠΙΜΕΛΗΤΗΣ Β|1|Μαρουγιάννη|Ελένη|ΕΠΙΜΕΛΗΤΗΣ Α
Πλακωτάρης|Βαρδής|ΕΠΙΜΕΛΗΤΗΣ Α|1|Λογοθέτη|Πηγή|ΔΙΕΥΘΥΝΤΗΣ
Ρόγαρης|Ρεβέκκα|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Καλιάμπος|Πηνελόπη|ΕΠΙΜΕΛΗΤΗΣ Α
Σακκή|Γιώργος|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Μωραΐτη|Ιωσήφ|ΕΠΙΜΕΛΗΤΗΣ Α
Σαλέμη|Μάρθα|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Γρηγοροπούλου|Βενέτιος|ΕΠΙΜΕΛΗΤΗΣ Α
Σίββα|Χρυσοβαλάντιος|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Σταυρόπουλος|Πολυτίμη|ΕΠΙΜΕΛΗΤΗΣ Α
Σκαφτούρου|Παρθένα|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Τσιούπρα|Ροδιά|ΕΠΙΜΕΛΗΤΗΣ Α
Σολακούδης|Στυλιανή|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Ζιώγος|Αλεξία|ΕΠΙΜΕΛΗΤΗΣ Α
Σουρμπής|Σουμέλα|ΕΠΙΜΕΛΗΤΗΣ Β|1|Ριζούλης|Ισιδώρα|ΕΠΙΜΕΛΗΤΗΣ Α
Σπαθάρη|Λάζαρος|ΕΠΙΜΕΛΗΤΗΣ Α|1|Κουκλατζής|Δράκων|ΔΙΕΥΘΥΝΤΗΣ
Σταμέλου|Παταπία|ΕΠΙΜΕΛΗΤΗΣ Α|1|Σπυριδάκη|Αριστοτέλης|ΔΙΕΥΘΥΝΤΗΣ
Τοδώρης|Λουδοβίκος|ΕΠΙΜΕΛΗΤΗΣ Β|1|Μυλωνίδου|Χρυσόστομη|ΕΠΙΜΕΛΗΤΗΣ Α
Τσιαντάς|Ανθούλης|ΕΠΙΜΕΛΗΤΗΣ Β|1|Τυμβίου|Μηλιά|ΕΠΙΜΕΛΗΤΗΣ Α
Τσικρίκα|Λουδοβίκος|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Σουλιντζής|Σμαράγδα|ΕΠΙΜΕΛΗΤΗΣ Α
Τσώνης|Κύρος|ΕΠΙΜΕΛΗΤΗΣ Α|1|Τζεβελέκος|Στεφανία|ΔΙΕΥΘΥΝΤΗΣ
Φιδάνη|Βενέτιος|ΕΠΙΜΕΛΗΤΗΣ Α|1|Πιτσάκης|Φωτεινός|ΔΙΕΥΘΥΝΤΗΣ
Φουτσιτζής|Ιάσονας|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Μαυρούτσος|Πελαγία|ΕΠΙΜΕΛΗΤΗΣ Α
Χατζελλής|Δημήτριος|ΕΠΙΜΕΛΗΤΗΣ Α|1|Πιτσάκης|Φωτεινός|ΔΙΕΥΘΥΝΤΗΣ
Χατζηγρηγοράκης|Αμφιθέα|ΕΠΙΜΕΛΗΤΗΣ Α|1|Καμπάκας|Ζαμπία|ΔΙΕΥΘΥΝΤΗΣ
Χουρζαμάνη|Βαρθολομαίος|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Κουτσουλής|Μιχαήλ|ΕΠΙΜΕΛΗΤΗΣ Α
Χουρζαμάνη|Βαρθολομαίος|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|2|Μόκας|Πελαγία|ΔΙΕΥΘΥΝΤΗΣ
Χριστογιάννη|Απόλλων|ΕΠΙΜΕΛΗΤΗΣ Α|1|Τζεβελέκος|Στεφανία|ΔΙΕΥΘΥΝΤΗΣ
