|------
|ΑΜΚΑ Ιατρού|Επώνυμο|Όνομα|Φετινές Επεμβάσεις
|47887287431|Γρίβας|Λαμπρινή|1
|10278681447|Δάφνη|Θεοφανία|1
|45352181883|Δημητρέλου|Ζησούλα|1
|34874016400|Δημόπουλος|Αλίκη|0
|80443699577|Δημτσούδη|Πολύβιος|0
|47436713695|Διακουμή|Θησεύς|1
|46990139837|Δίγκας|Δημήτρης|0
|34540193802|Δινεζάκης|Εύα|0
|19835841687|Διοπούλου|Χρυσοβαλάντω|0
|98478961183|Δρακάκης|Βησσαρίων|0
|28733427086|Δρακουλή|Αβραάμ|1
|35240824008|Δραμουντάνη|Ναταλία|0
|82710910430|Δρυμαλίτου|Λάμπρος|0
|99016272046|Εμμανουηλίδου|Ιάσων|0
|98050097882|Ζαραφέτας|Δημοκράτης|1
|62299911914|Ζαρειφοπούλου|Τηλέμαχος|1
|76724238849|Ζαχαρίου|Αμβρόσιος|1
|21465840449|Ζερβά|Λασκαρίνα|0
|18932460953|Ζιώγος|Γρηγόριος|0
|75841616928|Ζουκής|Νεκταρία|0
|94078161849|Θεοδωρικάκος|Ηρακλής|0
|50392614293|Θεοχάρης|Παναγία|1
|99650477358|Ισάρης|Εμμανουήλ|0
|61530515220|Ιωακείμ|Κοκκώνα|0
|13247546913|Ιωακειμίδου|Ζαμπία|0
|28258673622|Καλαμαράκης|Αβραάμ|1
|12053950240|Καλαμαράκης|Αδαμάντιος|1
|21969379237|Καλαμάρας|Φωτεινός|1
|43321819600|Καλαμάρας|Μυρσίνη|0
|95171870262|Καλιάμπος|Πηνελόπη|1
|83171210032|Καμπάκας|Ζαμπία|1
|73592555625|Καμπούρη|Εριέτα|1
|97746886239|Καραγιοβάννη|Παρέσσα|1
|36576615654|Καραγρηγορίου|Συμεώνη|1
|95269495888|Καραθανάση|Πέτρα|0
|33529042284|Καραμάνη|Τιμολέων|0
|40659657569|Καραμάνη|Ευτέρπη|1
|18515691545|Καραμσαλής|Παναγία|0
|84124118244|Καραμσαλής|Θεοφανία|1
|16560494519|Καρανασίου|Φωτεινή|1
|51612275304|Καράνης|Αρετή|1
|14054115262|Καρατζίκος|Ιφιγένεια|1
|13990490278|Καργάκου|Εύκλεια|0
|89113529096|Καστάνης|Φλοριάντ|1
|64887719065|Καψάλης|Μαγδαληνός|1
|14817549651|Κολαΐτου|Μυρσίνη|0
|39421047095|Κόλκας|Ευρύκλεια|1
|59296222927|Κουθούρη|Βαρθολομαίος|1
|16845775901|Κουλίδης|Φανή|0
|38299737631|Κουταλιός|Φλωρίνα|1
|68087603859|Κουτελιέρης|Ματρώνη|1
|25953278774|Κούτρης|Ασκληπιός|0
|26179640537|Κουτσογιάννης|Φοίβη|0
|18636374545|Κουτσουλής|Μιχαήλ|0
|86790874064|Κουφάκη|Καρυοφυλλιά|0
|46156793341|Κωτούλα|Νταίζη|1
|32424154152|Λάκκας|Ακρίτας|1
|51585064317|Λαλαούνη|Θεόκλεια|0
|48421993308|Λέκκα|Ευσεβεία|1
|71111615280|Λιάκου|Βαλεντίνος|1
|96705466889|Λιολιοπούλου|Ιπποκράτης|0
|23806174451|Λογοθέτη|Πηγή|0
|16578759856|Λύτρα|Ηλιάνα|1
|17581814124|Μαγκαφοπούλου|Λύσανδρος|1
|31034131647|Μανουσοπούλου|Περικλεία|0
|15430391171|Μανουσοπούλου|Ροδιά|1
|76320163287|Μασόπουλος|Όμηρος|0
|25134125286|Μαστραγγελή|Κρυσταλλένια|0
|29619431142|Ματεντσίδου|Τρισεύγενη|1
|41199867980|Ματσούρη|Κυριακή|0
|10025787298|Μαυροείδη|Ρεβέκκα|1
|40331739363|Μαυρουδής|Θεοφύλακτη|1
|65307450544|Μαυρούτσος|Πελαγία|1
|80132677360|Μεϊμάρης|Θεόφιλος|1
|77514010512|Μήτσου|Βασιλική|0
|14627048281|Μιλέα|Αλέξανδρος|1
|99309728962|Μιχαηλίδης|Σαράντης|1
|82634351751|Μιχελή|Μαριγώ|0
|74205493296|Μόκας|Πελαγία|0
|19374529912|Μουσελίμης|Καλή|1
|37918055269|Μπακοστεργίου|Δούκισσα|0
|71159212499|Μπαλαμπάνη|Νίκων|0
|41832856914|Μπαλάσκας|Μεγακλής|0
|10324171467|Μπαλτατζή|Μαρία|0
|26137506068|Μπαφέρα|Εφραίμ|0
|78248963834|Μπέκος|Βέρα|1
|50142940196|Μποζίκης|Πέτρα|0
|58692322602|Μποτζιώρη|Ήρα|1
|83561595148|Μυλωνάς|Βικέντιος|1
|33206163294|Μυλωνίδου|Χρυσόστομη|0
|13836702410|Μωραΐτη|Ιωσήφ|0
|58713971870|Νίκα|Ξανθίππη|1
|35978207151|Ντότση|Μελέτιος|0
|78713315098|Ντριβαλά|Γεωργία|0
|55341928327|Ξενάκη|Γαληνός|0
|34670656272|Ξηρογιάννης|Στυλιανή|0
|42684145933|Οικονόμου|Κονδυλία|0
|74549904530|Ορφανιώτης|Κικιλία|1
|71167190229|Ότσος|Ηρακλής|1
|39005329318|Πανοπούλου|Άγγελος|1
|23124329212|Πάνος|Ερωτόκριτος|1
|10702966706|Παντζέκος|Κορνήλιος|0
|11554262218|Πάντος|Παρέσσα|0
|16697848018|Παπαγεωργίου|Ευτέρπη|0
|26788861015|Παπαθανασίου|Προκόπιος|0
|13568044206|Παπακωνσταντίνου|Βικτόρια|1
|75254599102|Παπακώστα|Θεανώ|0
|61014388899|Παπαστεργίου|Μιράντα|0
|96499091334|Παπαφώτης|Θεοχαρούλα|0
|18621182339|Παπαχρήστου|Σπήλιος|1
|47154379937|Παπουλής|Μεταξία|0
|47510799118|Παππάς|Λουκία|0
|56218501631|Παππάς|Ζαφείρης|1
|27109477752|Παρασκευόπουλος|Θαλής|0
|12296120183|Παρασκευόπουλος|Ιερεμίας|1
|68633752431|Παργανάς|Νίκανδρος|0
|46785445877|Παργανάς|Ευτυχία|0
|13431611724|Πατελής|Φανουρία|0
|31727889579|Πατελής|Παρασκευή|1
|70213556909|Πέππας|Δομήνικος|1
|75564641708|Περιστερόπουλος|Αλεξάνδρα|1
|98262045053|Πετρίδου|Μαύρα|0
|27956878339|Πέτρου|Ανθούλης|0
|25367294667|Πέττα|Αρτεμισία|1
|38908386379|Πικούνης|Ακρίτας|0
|73741672434|Πιπερίγκος|Βαλεντίνα|0
|38726247317|Πιτσάκης|Φωτεινός|0
|18844225831|Πιτσολής|Κλέαρχος|0
|53794738347|Πιτσολής|Νέαρχος|0
|85079252419|Πλακωτάρης|Βαρδής|1
|77252287280|Πυλαρινός|Αγόρω|0
|93806868793|Ρέντας|Στέλλιος|1
|56981693406|Ρίγκος|Χλόη|1
|24278680112|Ριζούλης|Ισιδώρα|1
|67658617932|Ρόγαρης|Ρεβέκκα|0
|64651939828|Σακκή|Γιώργος|0
|31665876036|Σαλέμη|Μάρθα|0
|74517123685|Σαλίχος|Ματίνα|0
|18033974014|Σαμακίδης|Ιφιγένεια|1
|67528953926|Σαμαράς|Σπάρτη|1
|50455623869|Σηκωτίδου|Χαρά|1
|80003075622|Σίββα|Χρυσοβαλάντιος|0
|16738302843|Σκαφτούρου|Παρθένα|0
|42209690295|Σκορδάκης|Ευφροσύνη|0
|58549733484|Σολακούδης|Αυγέρης|0
|74741124903|Σολακούδης|Στυλιανή|0
|59325250029|Σολακούδης|Μαρκέλλα|1
|51286823004|Σουλιντζής|Σμαράγδα|0
|89325288095|Σπαθάρη|Λάζαρος|0
|15969664160|Σπαθάρη|Παρθένα|0
|22535841438|Σπυριδάκη|Αριστοτέλης|1
|50541566765|Σταμέλου|Παταπία|1
|11686854870|Σταυρίδου|Λυδία|0
|90496631931|Σταυρόπουλος|Πολυτίμη|1
|85574443135|Στεφάνου|Λουκιανός|0
|30316179904|Σύψα|Αιμιλιανός|1
|59640165820|Τζεβελέκος|Στεφανία|1
|16474687234|Τζέκος|Φραντζέσκα|0
|95604661839|Τοδώρης|Λουδοβίκος|0
|16998543534|Τορομίδης|Έλλη|1
|23309584982|Τσαραμιάδης|Δημοσθένης|0
|75355609320|Τσέλλος|Εφραίμ|0
|43842797881|Τσιαντάς|Ανθούλης|1
|85807836134|Τσικρίκα|Λουδοβίκος|0
|87277434873|Τσιούπρα|Ροδιά|0
|42102499471|Τσούμος|Απολλωνία|1
|13348039652|Τσώνης|Κύρος|1
|76767721903|Τσώτσης|Σταμάτιος|0
|62244472126|Τυμβίου|Λαέρτης|1
|38721489513|Τυμβίου|Μηλιά|1
|31003309232|Φαββάτα|Μυρτώ|1
|15614978403|Φασουλή|Θεόκλεια|1
|19379660334|Φιδάνη|Βενέτιος|0
|32003791769|Φουτσιτζής|Ιάσονας|0
|14711382675|Φωκαδελής|Θεόδωρος|1
|11254573875|Χονδρούδη|Ισαβέλλα|0
|65905151864|Χουρζαμάνη|Βαρθολομαίος|0
|53244720999|Χριστογιάννη|Απόλλων|0
|13432445107|Χωρινού|Λάσκαρης|0
